JALISCO,TEPATITLAN DE MORELOS,E10147,ESTACION DE SERVICIO LA MANGA S.A. DE C.V.,CARRETERA A YAHUALICA KM. 14+200,S/C,47600,045-378-70-811-66,estacionlamangasadecv@hotmail.com,29-dic-09,S,S,"El Castillo, Jal.",S,S,S,N,FRANQUICIA,NCF-2666 ,29-oct-09,29-oct-24,NO APLICA,SUMINISTRO,NCF-2666 ,29-oct-09,29-oct-24,NO APLICA, ,AL CONTRATO DE FRANQUICIA,CVP-0003834,24-ago-11,29-oct-24,NO APLICA,VENTA DE PRIMERA MANO,CVP-0003834,24-ago-11,29-oct-24,NO APLICA
JALISCO,TEPATITLAN DE MORELOS,E10962,GASOLINERA BUSTOS DE LA MORA S.A. DE C.V.,CARRET. TEPATITLAN-CAPILLA DE GUADALUPE KM. 36.500,S/C,47600,378-7814164/8853527,bustosdelamora@live.com.mx,06-dic-11,S,S,"El Castillo, Jal.",S,S,S,N,FRANQUICIA,VPM-0001104 ,16-ago-11,15-ago-26,NO APLICA,VENTA DE PRIMERA MANO,VPM-0001104 ,16-ago-11,15-ago-26,NO APLICA, ,,,,,,,,,,
JALISCO,TEPATITLAN DE MORELOS,E11596,"GRUPO JGJ-LUAN, S.A. DE C.V.",AUTOPISTA GUADALAJARA-TEPATITLAN KM 41.09,,,33-10773784,ghl_mesadelpino@hotmail.com,,S,S,"El Castillo, Jal.",S,S,S,N,FRANQUICIA,VPM-0000723 ,01-feb-13,01-feb-28,NO APLICA,VENTA DE PRIMERA MANO,VPM-0000723 ,01-feb-13,01-feb-28,NO APLICA, ,,,,,,,,,,
JALISCO,TEPATITLAN DE MORELOS,E11715,"SERVICIO CARNICERITO, S. DE R.L. DE C.V.",BLVD. ANACLETO GONZALEZ FLORES NUM. 180,SAN MIGUEL,47660,3787823909,lachos10@hotmail.com,,S,S,"El Castillo, Jal.",N,N,N,N,FRANQUICIA,VPM-0002303 ,21-may-13,20-may-28,NO APLICA,VENTA DE PRIMERA MANO,VPM-0002303 ,21-may-13,20-may-28,NO APLICA, ,,,,,,,,,,
JALISCO,TEQUILA,E01622,"GASOLINERIA TEQUILA , S.A. DE C.V.",AV.SIXTO GORJON 229 BIFURCACION CON CARR.MEX.NOGALES,CENTRO,46400,01 -374 -74 -2-00-23,gastequila@hotmail.com,03-ene-95,S,S,"Zapopan, Jal.",S,S,S,N,FRANQUICIA,VPM-0001990 ,27-sep-11,27-sep-16,NO APLICA,VENTA DE PRIMERA MANO,VPM-0001990 ,27-sep-11,27-sep-16,NO APLICA, ,,,,,,,,,,
JALISCO,TEQUILA,E06186,GASOLINERIA TEQUILA S.A. DE C.V.,CARRT. INTERNACIONAL # 580,EL MALUASTE,46400,01- 374- 74-2-15-15,gastequila@hotmail.com,26-sep-01,S,S,"Zapopan, Jal.",S,S,S,N,FRANQUICIA,FP-00700 ,27-ago-01,27-ago-16,NO APLICA,SUMINISTRO,FP-00700 ,27-ago-01,27-ago-16,NO APLICA, ,AL CONTRATO DE FRANQUICIA,CVP-0007216,30-sep-11,27-ago-16,NO APLICA,VENTA DE PRIMERA MANO,CVP-0007216,30-sep-11,27-ago-16,NO APLICA
JALISCO,TEQUILA,E06319,"GASOLINERA EL SALVADOR, S.A. DE C.V.",JUAREZ # 105,LA PINERA,46408,374-7449166,gasolineraelsalvador6319@hotmail.com,11-ene-02,S,S,"Zapopan, Jal.",S,S,S,N,FRANQUICIA,VPM-0003182 ,07-sep-12,07-sep-17,NO APLICA,VENTA DE PRIMERA MANO,VPM-0003182 ,07-sep-12,07-sep-17,NO APLICA, ,AL CONTRATO DE FRANQUICIA,CVP-0002386,19-ago-11,30-ene-17,NO APLICA,VENTA DE PRIMERA MANO,CVP-0002386,19-ago-11,30-ene-17,NO APLICA
JALISCO,TEUCHITLAN,E03628,REYNOSO MADRIGAL VICTOR HUGO,KM.12 CARR. TALA-ETZATLAN Y CALLE ROMERO GIL,.,46760,,,10-jun-93,S,S,"Zapopan, Jal.",S,S,S,N,FRANQUICIA,VPM-0002859 ,01-jun-12,05-jul-14,NO APLICA,VENTA DE PRIMERA MANO,VPM-0002859 ,01-jun-12,05-jul-14,NO APLICA, ,,,,,,,,,,
JALISCO,TEUCHITLAN,E04859,"VILLASE?OR BARAJAS, SA DE CV",KM. 32 CARRET- GUADALAJARA-AMECA,.,46760,013857333149 /013857,gasviba97@hotmail.com,21-ago-97,S,S,"Zapopan, Jal.",S,S,S,N,FRANQUICIA,VPM-0003035 ,30-jul-12,29-jul-17,NO APLICA,VENTA DE PRIMERA MANO,VPM-0003035 ,30-jul-12,29-jul-17,NO APLICA, ,AL CONTRATO DE FRANQUICIA,CVP-0005578,06-sep-11,30-jul-12,NO APLICA,VENTA DE PRIMERA MANO,CVP-0005578,06-sep-11,30-jul-12,NO APLICA
JALISCO,TIZAPAN EL ALTO,E05416,"AUTO EXPRESS TIZAPAN EL ALTO, S.A. DE C.V.",AV. NACIONAL # 245 EJE PONIENTE,S/D,49400,01-81-83-41-25-26,cesar@autoexpres.com.mx,11-oct-99,S,S,"El Castillo, Jal.",S,S,S,N,FRANQUICIA,NCF-1949 ,10-mar-08,17-may-16,NO APLICA,SUMINISTRO,NCF-1949 ,10-mar-08,17-may-16,NO APLICA, ,AL CONTRATO DE FRANQUICIA,CVP-0007348,22-sep-11,17-may-16,NO APLICA,VENTA DE PRIMERA MANO,CVP-0007348,22-sep-11,17-may-16,NO APLICA
